27,Japan,N-EU
157,Romania,EU  
146,Malta,EU  
133,Yemen,N-EU
95,Peru,N-EU
46,Poland,EU  
178,Taiwan,N-EU
49,Russian Federation,N-EU
120,Panama,N-EU
135,Papua New Guinea,N-EU
30,Congo,N-EU
21,Greece,EU  
100,Tajikistan,N-EU
125,Somalia,N-EU
175,South Sudan,N-EU
109,Guinea,N-EU
130,Central African Republic,N-EU
79,Iceland,N-EU
38,Morocco,N-EU
98,Sierra Leone,N-EU
108,Costa Rica,N-EU
44,Norway,N-EU
31,Korea (Democratic People's Republic of),N-EU
169,Oman,N-EU
184,Equatorial Guinea,N-EU
113,Kenya,N-EU
163,Palau,N-EU
39,North Macedonia,N-EU
111,Israel,N-EU
69,Afghanistan,N-EU
153,Czechoslovakia,N-EU
33,Croatia,N-EU
36,Luxembourg,EU  
159,Maldives,N-EU
53,Serbia and Montenegro,N-EU
127,Swaziland,N-EU
1,Egypt,N-EU
150,El Salvador,N-EU
20,Ghana,N-EU
105,Angola,N-EU
78,Guatemala,N-EU
137,Chad,N-EU
45,Austria,EU  
60,Czechia,EU  
141,Namibia,N-EU
86,Latvia,EU  
55,Slovakia,EU  
24,Iran (Islamic Republic of),N-EU
119,Niger,N-EU
166,Brunei Darussalam,N-EU
180,Palestine; State of,N-EU
145,Cabo Verde,N-EU
80,Jamaica,N-EU
12,China,N-EU
172,Lao People's Democratic Republic,N-EU
15,Ecuador,N-EU
177,Djibouti,N-EU
58,South Africa,N-EU
35,Lithuania,EU  
77,Estonia,EU  
123,Saudi Arabia,N-EU
117,Mali,N-EU
134,Mauritius,N-EU
74,Bolivia (Plurinational State of),N-EU
149,Trinidad and Tobago,N-EU
160,Honduras,N-EU
96,Rwanda,N-EU
28,Yugoslavia,N-EU
173,Malawi,N-EU
128,Togo,N-EU
57,Spain,EU  
67,Cyprus,EU  
41,Mongolia,N-EU
51,Switzerland,N-EU
11,Chile,N-EU
18,Gambia,N-EU
91,Mexico,N-EU
93,Pakistan,N-EU
43,Nigeria,N-EU
115,Cuba,N-EU
10,Burundi,N-EU
83,Kazakhstan,N-EU
97,San Marino,N-EU
170,Bhutan,N-EU
182,Palestinian Territories,N-EU
161,Kosovo,N-EU
7,Bosnia and Herzegovina,N-EU
126,Sri Lanka,N-EU
144,Dominica,N-EU
40,Moldova; Republic of,N-EU
164,Eritrea,N-EU
34,Liechtenstein,N-EU
66,Vietnam,N-EU
183,Taiwan; Province of China,N-EU
2,Albania,N-EU
154,Serbia,N-EU
142,Nepal,N-EU
26,Italy,EU  
179,Saint Vincent and the Grenadines,N-EU
6,Belgium,EU  
42,Netherlands,EU  
140,Kuwait,N-EU
16,Finland,EU  
62,Ukraine,N-EU
63,Hungary,EU  
143,Uzbekistan,N-EU
70,Armenia,N-EU
89,Madagascar,N-EU
94,Paraguay,N-EU
186,United Kingdom of Great Britain and Northern Ireland,N-EU
14,Dominican Republic,N-EU
81,Cambodia,N-EU
110,Indonesia,N-EU
148,Tanzania; United Republic of,N-EU
156,Bulgaria,EU  
75,Burkina Faso,N-EU
22,India,N-EU
118,Mozambique,N-EU
8,Brazil,N-EU
114,Kyrgyzstan,N-EU
37,Malaysia,N-EU
131,Benin,N-EU
65,United Kingdom of Great Britain and Northern Ireland,EU  
174,Comoros,N-EU
116,Libya,N-EU
185,Tuvalu,N-EU
47,Portugal,EU  
107,Belarus,N-EU
50,Sweden,EU  
139,Guinea-Bissau,N-EU
162,Gabon,N-EU
101,Tunisia,N-EU
132,C̫te d'Ivoire,N-EU
168,Solomon Islands,N-EU
32,Korea; Republic of,N-EU
104,United Arab Emirates,N-EU
147,Myanmar,N-EU
85,Congo; Democratic Republic of the,N-EU
61,Turkey,N-EU
64,United States of America,N-EU
176,Seychelles,N-EU
138,Uganda,N-EU
13,Germany,EU  
158,Nicaragua,N-EU
76,Denmark,EU  
9,Bulgaria,N-EU
4,Argentina,N-EU
68,unknown,N-EU
112,Jordan,N-EU
151,Fiji,N-EU
72,Australia,N-EU
171,Croatia,EU  
136,Syrian Arab Republic,N-EU
5,Bangladesh,N-EU
90,Mauritania,N-EU
102,Uruguay,N-EU
54,Zimbabwe,N-EU
106,Azerbaijan,N-EU
155,Montenegro,N-EU
181,Bahrain,N-EU
124,Singapore,N-EU
52,Senegal,N-EU
152,Convention Refugee ,N-EU
56,Slovenia,EU  
59,Thailand,N-EU
29,Cameroon,N-EU
73,Barbados,N-EU
129,Turkmenistan,N-EU
48,Romania,N-EU
19,Georgia,N-EU
82,Canada,N-EU
99,Sudan,N-EU
165,Guyana,N-EU
3,Algeria,N-EU
23,Iraq,N-EU
87,Lebanon,N-EU
92,New Zealand,N-EU
103,Venezuela (Bolivarian Republic of),N-EU
122,Zambia,N-EU
17,France,EU  
88,Liberia,N-EU
25,Ireland,EU  
84,Colombia,N-EU
167,Haiti,N-EU
71,Ethiopia,N-EU
121,Philippines,N-EU
