117,VS Graz-Liebenau,+43(0)3168726810,8,117
4,ISOP Externe Hauptschule,+43(0)316381354,1,4
22,Europahaus Graz,+43(0)316323554888,1,22
76,BG/BRG Graz; Seebachergasse,+43(0)316322059,5,76
153,VS Graz-Nibelungen,+43(0)3168727035,8,153
240,FH Joanneum; Produktionstechnik u. Organisation,+43(0)31654536900,15,240
166,HS Graz-Dr. Renner,+43(0)3168726875,10,166
267,TU-Graz; Institut für Papier-; Zellstoff- u. Fasertechnik,+43(0)3168730,13,267
23,WIFI Steiermark,+43(0)3166021234,1,23
155,VS Graz-Schönau,+43(0)3168726840,8,155
268,FH Joanneum; Physiotherapie,+43(0)31654536540,15,268
221,KUG Institut 9 Schauspiel,+43(0)31638930903093,16,221
16,Evangelisches Bildungswerk Steiermark,+43(0)316837245,1,16
273,FH Joanneum; eHealth,+43(0)31654536500,15,273
220,KUG Institut 7 Gesang; Lied; Oratorium,"",16,220
239,TU-Graz; Fakultät für Informatik; ICG,+43(0)3168735011,13,239
111,VS Graz-Waltendorf,+43(0)3168727060,8,111
194,TU-Graz; ISD und Institut für Human-Computer Interfaces,+43(0)3168735301,13,194
241,Uni-Graz; Institut für Schulpädagogik,+43(0)3163802553,17,241
97,HS Graz-Webling,+43(0)3168726965,10,97
57,BBA Graz,+43(0)316284269,3,57
144,HS Graz-Albert Schweitzer,+43(0)3168726755,10,144
174,TU-Graz; Institute der Falkultät für Bauingenieurwissenschaften,+43(0)3168734341,13,174
219,KUG Institut 16 Jazzforschung,+43(0)3163893160,16,219
28,Inlingua-Language Competence Center,+43(0)316824477,1,28
1,Bildungsnetzwerk Steiermark,"",1,1
182,FH Joanneum; Ausstellungs- u. Museumsdesign,+43(0)31654538600,15,182
185,FH Joanneum; Journalismuas und Public Relations (PR),+43(0)31654538660,15,185
198,Uni-Graz; Fakultät der Sozial- und Wirtschaftswissenschaften,+43(0)316380,17,198
266,TU-Graz; Institut für Molekulare Biotechnologie,+43(0)3168734072,13,266
84,BHAK/BHAS Monsberger,+43(0)316463868,4,84
113,VS Graz-St. Veit,+43(0)3168727090,8,113
106,HS Graz-Karl Morre,+43(0)3168726975,10,106
149,Private VS Ingrid Holzer,"",8,149
147,VS Graz-Hirten,+43(0)3168727070,8,147
271,Uni-Graz; Institut für Erziehungswissenschaften,+43(0)3163802535,17,271
87,BG/BRG Graz; Klusemannstraße,+43(0)316273848,5,87
115,VS Graz-Mariatrost,+43(0)3168726880,8,115
178,MED Institut für Humangenetik,+43(0)3163804111,14,178
246,MED Institut für Pathologie,+43(0)3163804400,14,246
261,FH Joanneum; Luftfahrt/Aviation,+43(0)31654536400,15,261
51,FS w.Berufe Caritas,+43(0)3168015435,2,51
105,HS Graz-Straßgang,+43(0)3168726955,10,105
269,MED Institut für Pflegewissenschaften,+43(0)31638572064,14,269
238,Kirchlich (kath.) Pädagogische Hochschule,+43(0)316581670,18,238
5,Wegener Zentrum für Klima u. Globalen Wandel der Uni Graz,+43(0)3163808430,1,5
143,VS Graz-Berliner Ring,+43(0)3168726870,8,143
212,Uni-Graz; HPR; Zentrum für Bewegungswissenschaften u. sportmedizinische Forschung,+43(0)3163803900,17,212
150,HS Graz-St. Leonhard,+43(0)3168726715,10,150
224,Uni-Graz; Institut für Systemwissenschaften,+43(0)3163803238,17,224
227,KUG Institut 8 Jazz,"",16,227
59,BG/BRG Graz; Carnerigasse,+43(0)316683433,5,59
27,Ak-Bildungszentrum Otto Möbes Schule,"",1,27
119,VS Graz-Karl Morre,+43(0)3168726970,8,119
223,Uni-Graz; Institut für Sportwissenschaften,+43(0)3163802325,17,223
274,FH Joanneum; Biomedizinische Analytik,+43(0)31654536660,15,274
121,VS Graz-Algersdorf,+43(0)3168726760,8,121
245,KUG Institut 17 Elektronische Musik und Akustik,+43(0)3163893170,16,245
162,Landessonderschule für körperbeh. und mehrfach behinderte Kinder,+43(0)316672136,11,162
206,TU-Graz; Institute der Fakultät für Technische Mathematik u. Technische Physik,+43(0)3168736475,13,206
79,Gesundheits- u. Krankenpflegeschule,+43(0)3163852431,3,79
75,BRG Graz; Keplerstraße,+43(0)316714712,5,75
140,HS Graz-Ferdinandeum,+43(0)3168726915,10,140
161,Priv. VS; HS; SS f. sehbeh. u. blinde Kinder (SPZ),+43(0)316327075,11,161
96,HS Graz-St. Johann,+43(0)3168726705,10,96
197,KUG Institut 14 Musikästhetik,+43(0)3163893140,16,197
199,TU-Graz; Fakultät für Informatik; IICM; CGV,+43(0)3168735613,13,199
188,TU-Graz; Institute der Fakultät für Maschinenbau u.Wirtschaftswissen,+43(0)3168737361,13,188
12,Volksbildungswerk,+43(0)316321020,1,12
25,Urania,+43(0)3168256880,1,25
120,VS Graz-Neufeld,+43(0)3168727010,8,120
151,HS Graz-Andritz,+43(0)3168726865,10,151
40,BG Graz; Georgigasse (GIBS),+43(0)316771050,5,40
193,TU-Graz; Institute der Fakultät für Maschinenbau und Wirtschaftswissen,+43(0)3168737111,13,193
210,FH Joanneum; Architektur und Projektmanagement,+43(0)31654538200,15,210
35,LA für Ehe- u. Familienberatung,+43(0)3168041,3,35
139,Regenbogenschule - Förderung alternativer Lernmethoden in Graz,"",8,139
253,KUG Institut 1 Komposition; Musiktheorie; Musikgeschichte und Dirigieren,+43(0)3163893010,16,253
211,KUG Institut 15 Alte Musik und Aufführungspraxis,+43(0)3163893150,16,211
233,MED Institut fuer Biophysik,+43(0)3163804135,14,233
214,Päd. Hochschule Stmk.,+43(0)31680671601,18,214
116,VS Graz-Leopoldinum,+43(0)3168726790,8,116
134,VS Graz-Puntigam,+43(0)3168726890,8,134
10,Institut CEF_Dr. Christian Ernst Fuchs; GmbH,"",1,10
228,KUG Institut 11 Bühnengestaltung,"",16,228
11,Montagsakademie; Zentrum für Weiterbildung,+43(0)3163801104,1,11
13,iilo - Institut für individuelle Leistungsoptimierung,+43(0)316818723,1,13
15,VHS Volkshochschule Graz Stadt,"",1,15
68,Privatgymnasium Sacre Coeur,+43(0)31682800612,5,68
50,HLA Techn. Chemie u. UmwelttechnikKolleg,+43(0)31638115316,7,50
63,BG/BRG Graz; Lichtenfelsgasse,+43(0)316321226,5,63
74,BDV Benko 3-jährig,+43(0)316822172,4,74
78,BG/BRG Graz; Dreihackengasse,+43(0)316712246,5,78
164,Freie Waldorfschule,+43(0)316402606,10,164
42,BORG Graz; Monsbergergasse,+43(0)316463501,5,42
34,FS Alt-Grottenhof - Ekkehard Hauer Schule,+43(0)316281561,2,34
80,Psychiatr. Gesundheits- u. Krankenpflegeschule,+43(0)31621912470,2,80
56,Privatschule Uranschek,+43(0)316830246,4,56
88,Hauswirtschaftliche Schule - Odilien,+43(0)31632266726,2,88
159,Private VS der Schulschwestern Eggenberg,+43(0)316583341119,8,159
48,Privates ORG Schulschwestern,+43(0)316583341,5,48
230,TU-Graz; Institut der Fakultät für Technische Mathmatik u. Technische Physik,+43(0)3168738320,13,230
124,VS Graz-Andritz,+43(0)3168726730,8,124
244,Uni-Graz; Fakultät der Umwelt-Regional- u.Bildungswissenschaften,+43(0)3163808020,17,244
118,Praxis VS der Päd. Hochschule,+43(0)31680671222,8,118
8,Akademie für Neue Medien Wissenstransfer,+43(0)3163809100,1,8
183,FH Joanneum; Informationsmanagement,+43(0)31654538500,15,183
133,VS Graz-St. Johann,+43(0)3168726700,8,133
54,BHAK/BHAS Graz; Grazbachgasse,+43(0)3168294560,4,54
67,Private HLLH Schulschwestern,+43(0)316583341,2,67
191,TU-Graz; Institut für Holzbau und Holztechnologie,+43(0)3168734601,13,191
209,Uni-Graz; Fakultät der Naturwissenschaften,+43(0)3163805000,17,209
109,Private VS des Vereines Projektschule Graz,+43(0)316474250,8,109
232,TU-Graz; Institute der Fakultät für Elektrotechnik und Informationstechnik,+43(0)3168737251,13,232
39,FS St. Martin,+43(0)31628365553,2,39
138,HS Graz-Fröbel,+43(0)3168727075,10,138
218,TU-Graz; Fakultät für Informatik; IAIK,+43(0)3168735514,13,218
202,Uni-Graz; Karl-Franzens-Universität,+43(0)3163800,17,202
231,Uni-Graz; Fakultät der Rechtswissenschaften,+43(0)3163803160,17,231
20,Bildungshaus Raiffeisenhof,+43(0)31680507111,1,20
262,MED Institut für Molekularbiologie und Biochemie,+43(0)3163804200,14,262
71,HTBLVA Gösting (BULME),+43(0)31660810,7,71
85,Akademisches Gymnasium,+43(0)316814246,5,85
86,LA f. Sehbehinderte Odilien,+43(0)31632266726,7,86
203,FH Joanneum; Radiologietechnologie,+43(0)31654536570,15,203
243,KUG Institut 3 Saiteninstrumente,+43(0)3163893030,16,243
95,HS Graz-Kepler,+43(0)3168726935,10,95
180,MED Institut für Sozialmedizin und Epidemiologie,+43(0)3163804398,14,180
46,BG/BRG für Berufstätige,+43(0)316318899,5,46
44,Gesundheits- u. Krankenpflegeschule; Vorbereitung,+43(0)3163852600,3,44
154,VS Graz-Triester,+43(0)3168726850,8,154
53,Schule für med.-tech. Fachdienst,+43(0)31621912652,2,53
179,MED Institut für Hygiene; Mikrobiologie und Umweltmedizin,+43(0)3163804360,14,179
92,Private Realschule Graz-Webling,+43(0)3168726965,9,92
38,HBLA f. Mode und Bekleidungstechnik,+43(0)316821192,6,38
47,Kolleg für Sozialpädagogik,+43(0)31658167027,3,47
90,VS Graz-Bertha v. Suttner,+43(0)3168726750,8,90
30,VHS der Kammer für Arbeiter und Angestellte für Stmk.,+43(0)31677995000,1,30
89,VS Graz-Krones,+43(0)3168726980,8,89
181,FH Joanneum; Bank- und Versiucherungswirtschaft,+43(0)31654537100,15,181
165,VS Sacré Coeur,+43(0)31682800663,8,165
215,FH Joanneum; Fahrzeugtechnik,+43(0)31654538400,15,215
169,HS Graz-Puntigam,+43(0)3168726895,10,169
259,FH Joanneum; Management internat. Geschäftsproz.,+43(0)31654536800,15,259
73,BORG Dreierschützengasse,+43(0)316682385,5,73
251,FH Joanneum; Baumanagement und Ingenieurbau,+43(0)31654538200,15,251
52,LA für Sozialbetreuungsberufe; Diözese Graz-Seckau,+43(0)3168241510,3,52
94,VS Graz-St. Andrä,+43(0)3168726900,8,94
132,VS Graz-Geidorf,+43(0)3168726800,8,132
170,VS Graz-Ferdinandeum,+43(0)3168726910,8,170
101,Integrative Volksschule der Landessonderschule,+43(0)31667213614,8,101
196,TU-Graz; Institute der Fakultät für Architektur,+43(0)3168734721,13,196
130,Landesinstitut für Hörgeschädigte (SPZ),+43(0)31632301529,11,130
256,KUG Institut 5 Musikpädagogik,"",16,256
229,KUG Institut 12 Oberschützen,"",16,229
234,MED Institut fuer Physiologie,+43(0)3163804260,14,234
61,HLW f. wirt.Berufe; Schulschwestern,+43(0)316583341,6,61
91,VS Graz-Peter Rosegger,+43(0)3168727040,8,91
216,FH Joanneum; Industrial Design,+43(0)31654538100,15,216
249,FH Joanneum; Hebammen,+43(0)31654536600,15,249
263,MED Institut für Medizinische Informatik; Statistik und Dokumentation,+43(0)31638513201,14,263
81,BAfL Graz,+43(0)316327980,2,81
171,Heilstättenschule LKH-Universitätsklinikum Graz (SPZ),+43(0)3168726735,11,171
237,FH Joanneum; Media and Interaction Design,+43(0)31654538628,15,237
55,BG/BRG Graz; Pestalozzistraße,+43(0)316830387,5,55
29,SteiGLS - Akademie,+43(0)316386873,1,29
265,TU-Graz; Institut für Geometrie,+43(0)3168738441,13,265
264,TU-Graz; Institut für Geoinformation,+43(0)3168736346,13,264
187,FH Joanneum; Soziale Arbeit,+43(0)31654538700,15,187
137,VS Graz-Gabelsberger,+43(0)3168726930,8,137
3,Verwaltungsakademie Stadt Graz,"",1,3
108,Sr. Klara Fietz - Priv. VS der Schulschwestern,+43(0)316829551,8,108
252,FH Joanneum; Bauplanung und Bauwirtschaft,+43(0)31654538200,15,252
7,Peripherie,"",1,7
14,Didactica Superlearning Sprachinstitut,+43(0)316830157,1,14
222,Uni-Graz; Forschungsstelle Österr.Deutsch,+43(0)3163802535,17,222
60,Modellschule Graz,+43(0)316672982,5,60
100,Privatschule OK - Ort f. Kinder,+43(0)316578214,8,100
135,Praxis VS der Kirchl. Päd. Hochschule der Diözese,+43(0)31658167054,8,135
152,Private VS der Ursulinen,+43(0)31632330021,8,152
235,MED Institut für Zellbiologie; Histologie und Embryologie,+43(0)3163804230,14,235
2,ETC-Europäisches Trainings- u. Forschungszentrum für Menschenrechte,+43(0)3163801530,1,2
103,HS Graz-St. Andrä,+43(0)3168726905,10,103
126,VS Graz-Baiern,+43(0)3168726740,8,126
272,KUG Institut 10 Musiktheater,"",16,272
110,Private HS der Ursulinen,+43(0)31632330020,10,110
189,TU-Graz; Institute der Fakultät für Maschinenbau u. Wirtschaftswissen,+43(0)3168731361,13,189
163,VS Graz-Jägergrund,+43(0)3168726960,8,163
77,BG/BRG Graz; Oeverseegasse,+43(0)316712271,5,77
255,KUG Institut 4 Blas- und Schlaginstrumente,+43(0)3163893040,16,255
32,bit schulungscenter Nfg GmbH & Co KG,+43(0)316285550,1,32
45,BG/BORG Graz-Liebenau (HIB),+43(0)316472588,5,45
43,Gesundheits- u. Krankenpflegeschule; Kinder u. Jugendl.,+43(0)3163852481,3,43
82,Schule für Sozialbetr./Altenarbeit d. Diakoniewerkes,+43(0)316281371,2,82
177,MED Institut für Gerichtliche Medizin,+43(0)3163804325,14,177
184,FH Joanneum; International Management,+43(0)31654536800,15,184
69,WIKU BRG,+43(0)316471511,5,69
200,TU-Graz; Fakultät für Informatik; IWM,+43(0)3168739251,13,200
142,VS Graz-Murfeld,+43(0)3168726830,8,142
201,Uni-Graz; Institut der Fakultät für Sozial- u. Wirtschaftswissenschaften,+43(0)3163807189,17,201
41,BG/BRG Graz; Kirchengasse,+43(0)316687404,5,41
192,TU-Graz; Institute der Fakultät für Bauingenieurwissenschaften,+43(0)3168738371,13,192
49,BG/BRG f. Berufstätige; Graz,+43(0)316318899,5,49
122,VS Graz-Neuhart,+43(0)3168727020,8,122
173,Musik-HS Graz-Ferdinandeum,+43(0)3168726815,10,173
217,TU-Graz; Institut für Prozess- und Partikeltechnik,+43(0)3168737464,13,217
186,TU-Graz; Institute der Fakultät für Technische Chemie; Verfahrenstechnik u. Biotechnologie,+43(0)3168738301,13,186
18,AK Bildungsberatung,"",1,18
242,MED Institut für Biomedizinische ForschungInstitut für Biomedizinische Forschung,+43(0)31638512524,14,242
24,Volkswirtschaftliche Gesellschaft Steiermark,+43(0)316830260,1,24
127,VS Graz-Engelsdorf,+43(0)3168726780,8,127
167,Private HS d. Vereins der Grazer Schulschwestern,+43(0)31658334112,10,167
260,FH Joanneum; Health Care Engineering,+43(0)31654536500,15,260
58,Werkmeisterlehrgang Maschinenbau BT WIFI,+43(0)316602263,7,58
128,VS Graz-Fischerau,+43(0)3168726920,8,128
205,Uni-Graz; Institut für Soziologie; Frauen- und Geschlechterforschung,+43(0)3163807088,17,205
207,TU-Graz; Fakultät für Technische Chemie; Verfahrenstechnik u. Biotechnologie,+43(0)3168730,13,207
37,Privatgymnasium und ORG Ursulinen,+43(0)31632330011,5,37
64,HBLA Schrödingerstraße,+43(0)316714802,6,64
66,Lernen kann heilen helfen,"",5,66
65,BRG Graz; Petersgasse,+43(0)316463246,5,65
6,AUFWIND,"",1,6
146,VS Graz-St. Peter,+43(0)3168727080,8,146
247,TU-Graz; Fakultät für Informatik; IGI; IST,+43(0)3168735811,13,247
258,Uni-Graz; Institute der Fakultät für Katholische Theologie,+43(0)3163806320,17,258
99,Sprachheilschule Graz,+43(0)3168726725,11,99
176,MED Institut für Pathophysiologie & Immunologie,"",14,176
257,KUG Institut 6 Kirchenmusik und Orgel,+43(0)3163893060,16,257
93,VS Graz-Mariagrün,+43(0)3168726820,8,93
102,Praxis HS der Päd.Hochschule in Stmk.,+43(0)31680671222,10,102
123,VS Graz-Viktor-Kaplan,+43(0)3168726860,8,123
250,FH Joanneum; Informationsdesign,+43(0)31654538600,15,250
129,Sonderschule Graz-Rosenhain,+43(0)3168726745,11,129
148,Karl-Schubert-Schule,+43(0)316302434,11,148
114,VS Graz-Straßgang,+43(0)3168726950,8,114
72,HTBLVA Ortweingasse,+43(0)3166084,7,72
112,VS Odilien,+43(0)316327075,8,112
172,VS Graz-Elisabeth,+43(0)3168726710,8,172
98,ASO Graz-Triester,+43(0)3168726858,11,98
145,VS Graz-Brockmann,+43(0)3168726720,8,145
157,VS Graz-Gösting,+43(0)3168726940,8,157
204,KUG Institut 2 Klavier,+43(0)3163893020,16,204
213,FH Technopark,"",15,213
141,HS Graz-Engelsdorf,+43(0)3168726785,10,141
19,Bildungshaus Mariatrost,+43(0)316391131,1,19
136,Schule im Pfeifferhof (SiP) - Knallerbse des Vereines Mit Kindern leben,+43(0)316354988,8,136
175,MED Institut für Experimentelle und Klinische Pharmakologie,+43(0)3163804309,14,175
190,TU-Graz; Fakultät für Architektur,+43(0)3168736101,13,190
62,Bisch. Gymnasium; Graz,+43(0)316682601,5,62
107,HS Graz-Algersdorf,+43(0)3168726765,10,107
270,KUG Institut 13 Ethnomusikologie,+43(0)3163893130,16,270
156,ASO Graz-Pestalozzi,+43(0)3168726855,11,156
125,VS Graz-Eisteich,+43(0)3168726770,8,125
21,Bildungshaus Schloss St. Martin,+43(0)316283655,1,21
236,Uni-Graz; Fakultät der Geisteswissenschaften,+43(0)3163808015,17,236
26,Sozial- und Heilpädagogisches Förderungsinstitut,+43(0)316392805,1,26
83,HLA f.w.B.; Sozialmanagement,+43(0)3168015430,3,83
104,HS Graz-St. Peter,+43(0)3168727015,10,104
254,Uni-Graz; Fakultät der Katholischen-Theologie,+43(0)3163803150,17,254
9,Berufsförderungsinstitut - bfi,"",1,9
70,BRG Graz; Körösistraße,+43(0)316672060,5,70
160,VS u. HS Graz-Ellen Key,+43(0)3168726718,11,160
131,Polytechnische Schule Graz-Herrgottwies,+43(0)3168726885,12,131
226,MED Institut für Physiologische Chemie,+43(0)3163804161,14,226
248,Uni-Graz; Institut für Geographie u. Raumforschung,+43(0)3163805135,17,248
168,Sporthauptschule Graz,+43(0)3168726925,10,168
31,LFI Ländliches Fortbildungsinstitut,+43(0)31680501305,1,31
33,FS Haidegg - Ferdinand Prirsch Schule,+43(0)316301507,2,33
158,VS Graz-Afritsch,+43(0)3168727050,8,158
225,MED Institut für Anatomie,+43(0)3163804210,14,225
208,Uni-Graz; Institute der Fakultät für Regional- u. Bildungswissenschaften,+43(0)3163802535,17,208
17,Netzwerk Krainerhaus,+43(0)3166995213,1,17
195,TU-Graz; Institute der Fakultät für Elektro- u. Informationstechnik,+43(0)3168731621,13,195
36,BDVS Benko 2-jährig; dzt. stillgelegt,"",4,36
